Round,Date,Time,League,"Home Team",H,A,"Away Team",Status,Venue
1,22/03/2026,11:40,PLW,"MIRA PLW",3,0,"LIPI PLW",PLAYED,"Kareela 2"
1,22/03/2026,11:40,PLW,"NCAR PLW",6,0,"BANG PLW",PLAYED,"Kareela 3"
1,22/03/2026,10:00,PLW,"COMO PLW",2,1,"CSEA PLW",PLAYED,"Harrie Dening 1"
1,22/03/2026,10:00,PLW,"GYME PLW",3,0,"BOSC PLW",PLAYED,"Kareela 2"
2,29/03/2026,15:00,PLW,"LIPI PLW",3,0,"KIRR PLW",PLAYED,"Lilli Pilli Oval"
2,29/03/2026,11:40,PLW,"BOSC PLW",0,2,"MIRA PLW",PLAYED,"Woronora Heights 1"
2,29/03/2026,13:20,PLW,"CSEA PLW",0,5,"GYME PLW",PLAYED,"Box Road 3"
2,29/03/2026,10:00,PLW,"BANG PLW",1,3,"COMO PLW",PLAYED,"Ridge 1"
3,12/04/2026,11:00,PLW,"MIRA PLW",6,0,"CSEA PLW",PLAYED,"Seymour Shaw Stadium"
3,12/04/2026,15:00,PLW,"LIPI PLW",3,0,"BOSC PLW",PLAYED,"Lilli Pilli Oval"
3,12/04/2026,10:00,PLW,"GYME PLW",7,0,"BANG PLW",PLAYED,"Kareela 2"
3,12/04/2026,15:00,PLW,"KIRR PLW",1,4,"NCAR PLW",PLAYED,"Kareela 3"
4,19/04/2026,11:40,PLW,"BOSC PLW",2,1,"KIRR PLW",PLAYED,"Woronora Heights 1"
4,19/04/2026,13:20,PLW,"CSEA PLW",1,6,"LIPI PLW",PLAYED,"Tonkin Oval"
4,19/04/2026,10:00,PLW,"BANG PLW",1,8,"MIRA PLW",PLAYED,"Ridge 1"
4,17/04/2026,19:00,PLW,"NCAR PLW",6,2,"COMO PLW",PLAYED,"North Caringbah Oval"
5,26/04/2026,15:00,PLW,"LIPI PLW",5,2,"BANG PLW",PLAYED,"Lilli Pilli Oval"
5,26/04/2026,11:40,PLW,"BOSC PLW",5,0,"CSEA PLW",PLAYED,"Woronora Heights 1"
5,26/04/2026,10:00,PLW,"GYME PLW",1,1,"NCAR PLW",PLAYED,"Kareela 2"
5,26/04/2026,15:00,PLW,"KIRR PLW",3,0,"COMO PLW",PLAYED,"Kareela 3"
6,10/05/2026,13:20,PLW,"CSEA PLW",0,3,"KIRR PLW",PLAYED,"5 Sports Caringbah"
6,10/05/2026,10:00,PLW,"BANG PLW",0,1,"BOSC PLW",PLAYED,"Ridge 1"
6,10/05/2026,13:20,PLW,"NCAR PLW",2,3,"MIRA PLW",PLAYED,"North Caringbah Oval"
6,10/05/2026,11:40,PLW,"COMO PLW",0,2,"GYME PLW",PLAYED,"Jannali 1"
7,24/05/2026,11:20,PLW,"MIRA PLW",8,0,"COMO PLW",PLAYED,"Seymour Shaw Stadium"
7,24/05/2026,13:20,PLW,"LIPI PLW",0,0,"NCAR PLW",PLAYED,"Greenhills 1"
7,24/05/2026,13:20,PLW,"CSEA PLW",4,3,"BANG PLW",PLAYED,"Solander 2"
7,24/05/2026,11:40,PLW,"KIRR PLW",1,4,"GYME PLW",PLAYED,"Gymea Bay 1"
8,31/05/2026,19:00,PLW,"BANG PLW",1,4,"KIRR PLW",PLAYED,"Kareela 2"
8,04/06/2026,20:00,PLW,"NCAR PLW",3,0,"BOSC PLW",PLAYED,"5 Sports Caringbah"
8,28/05/2026,18:20,PLW,"COMO PLW",0,6,"LIPI PLW",PLAYED,"5 Sports Caringbah"
8,03/06/2026,19:00,PLW,"GYME PLW",2,0,"MIRA PLW",PLAYED,"Seymour Shaw 2"
9,07/06/2026,11:00,PLW,"MIRA PLW",0,0,"KIRR PLW",PLAYED,"Seymour Shaw Stadium"
9,07/06/2026,13:20,PLW,"LIPI PLW",0,3,"GYME PLW",PLAYED,"Glenn McGrath Oval"
9,07/06/2026,11:40,PLW,"BOSC PLW",2,2,"COMO PLW",PLAYED,"Woronora Heights 1"
9,07/06/2026,13:20,PLW,"CSEA PLW",0,9,"NCAR PLW",PLAYED,"5 Sports Caringbah"
10,14/06/2026,11:40,PLW,"LIPI PLW",0,5,"MIRA PLW",PLAYED,"Glenn McGrath Oval"
10,14/06/2026,09:40,PLW,"BANG PLW",1,16,"NCAR PLW",PLAYED,"Ridge 1"
10,14/06/2026,11:20,PLW,"CSEA PLW",3,0,"COMO PLW",PLAYED,"5 Sports Caringbah"
10,16/06/2026,20:00,PLW,"BOSC PLW",-,-,"GYME PLW",PUBLISHED,"Kareela 2"
11,21/06/2026,15:00,PLW,"KIRR PLW",-,-,"LIPI PLW",PUBLISHED,"Kareela 3"
11,21/06/2026,11:00,PLW,"MIRA PLW",-,-,"BOSC PLW",PUBLISHED,"Seymour Shaw Stadium"
11,21/06/2026,10:00,PLW,"GYME PLW",-,-,"CSEA PLW",PUBLISHED,"Kareela 2"
11,21/06/2026,11:40,PLW,"COMO PLW",-,-,"BANG PLW",PUBLISHED,"Jannali 1"
12,28/06/2026,13:20,PLW,"CSEA PLW",-,-,"MIRA PLW",PUBLISHED,"5 Sports Caringbah"
12,28/06/2026,11:40,PLW,"BOSC PLW",-,-,"LIPI PLW",PUBLISHED,"Woronora Heights 1"
12,28/06/2026,10:00,PLW,"BANG PLW",-,-,"GYME PLW",PUBLISHED,"Ridge 1"
12,28/06/2026,13:20,PLW,"NCAR PLW",-,-,"KIRR PLW",PUBLISHED,"North Caringbah Oval"
13,05/07/2026,15:00,PLW,"KIRR PLW",-,-,"BOSC PLW",PUBLISHED,"Kareela 3"
13,05/07/2026,12:30,PLW,"LIPI PLW",-,-,"CSEA PLW",PUBLISHED,"Seymour Shaw Stadium"
13,05/07/2026,10:30,PLW,"MIRA PLW",-,-,"BANG PLW",PUBLISHED,"Seymour Shaw Stadium"
13,05/07/2026,13:20,PLW,"COMO PLW",-,-,"NCAR PLW",PUBLISHED,"Jannali 1"
14,12/07/2026,10:00,PLW,"BANG PLW",-,-,"LIPI PLW",PUBLISHED,"Ridge 1"
14,12/07/2026,13:20,PLW,"CSEA PLW",-,-,"BOSC PLW",PUBLISHED,"Woolooware 1"
14,12/07/2026,13:20,PLW,"NCAR PLW",-,-,"GYME PLW",PUBLISHED,"North Caringbah Oval"
14,12/07/2026,11:40,PLW,"COMO PLW",-,-,"KIRR PLW",PUBLISHED,"Jannali 1"
15,19/07/2026,15:00,PLW,"KIRR PLW",-,-,"CSEA PLW",PUBLISHED,"Kareela 3"
15,19/07/2026,11:40,PLW,"BOSC PLW",-,-,"BANG PLW",PUBLISHED,"Woronora Heights 1"
